source_file,broken_url,status
base64-to-image-guide-1.html,https://fastimgtool.com/tools/image-converter/,404
base64-to-image-guide-1.html,https://fastimgtool.com/newsletter/,404
base64-to-image-guide-4.html,https://fastimgtool.com/newsletter/,404
batch-convert-jpg-to-png.html,https://fastimgtool.com/newsletter,404
batch-convert-jpg-to-png.html,https://fastimgtool.com/tools/bulk-media-converter,404
batch-convert-png-to-jpg.html,https://fastimgtool.com/png-to-jpg,404
batch-convert-webp-to-jpg.html,https://fastimgtool.com/converter,404
batch-convert-webp-to-jpg.html,https://fastimgtool.com/batch-conversion,404
blur-face-in-image.html,https://fastimgtool.com/guides/how-to-remove-object-from-photo.html,404
blur-image-background.html,https://fastimgtool.com/newsletter-signup,404
blur-image-background.html,https://fastimgtool.com/tools/photo-editor,404
blur-image-background.html,https://fastimgtool.com/tools/background-blur-tool,404
blur-image-background.html,https://fastimgtool.com/tools/product-photo-suite,404
blur-image-for-privacy.html,https://fastimgtool.com/newsletter-signup,404
blur-image-for-privacy.html,https://fastimgtool.com/video-editor,404
blur-image-for-privacy.html,https://fastimgtool.com/privacy-policy,404
bmp-to-jpg-guide-2.html,https://fastimgtool.com/tools/pdf-to-word/,404
bmp-to-jpg-guide-2.html,https://fastimgtool.com/tools/png-optimizer/,404
bmp-to-jpg-guide-2.html,https://fastimgtool.com/tools/video-compressor/,404
bmp-to-jpg-guide-4.html,https://fastimgtool.com/newsletter/,404
bmp-to-jpg-guide-5.html,https://fastimgtool.com/newsletter-signup/,404
compress-image-for-email.html,https://fastimgtool.com/newsletter,404
compress-image-for-email.html,https://fastimgtool.com/tools/image-optimizer,404
compress-image-for-email.html,https://fastimgtool.com/privacy-policy,404
compress-image-for-email.html,https://fastimgtool.com/features/cloud-storage,404
compress-image-for-email.html,https://fastimgtool.com/tools/bulk-image-compressor,404
compress-image-without-losing-quality.html,https://fastimgtool.com/tools/bulk-compressor,404
compress-image-without-losing-quality.html,https://fastimgtool.com/newsletter,404
compress-image-without-losing-quality.html,https://fastimgtool.com/tools/image-converter,404
compress-image-without-losing-quality.html,https://fastimgtool.com/tools/image-optimizer,404
convert-image-to-black-and-white.html,https://fastimgtool.com/tools/black-white-converter,404
convert-image-to-black-and-white.html,https://fastimgtool.com/newsletter-signup,404
convert-jpg-to-png-for-printing.html,https://fastimgtool.com/newsletter,404
convert-jpg-to-png-for-printing.html,https://fastimgtool.com/tools/image-converter,404
convert-jpg-to-png-for-web.html,https://fastimgtool.com/newsletter,404
convert-jpg-to-png-for-web.html,https://fastimgtool.com/tools/image-converter,404
convert-jpg-to-png-with-transparency.html,https://fastimgtool.com/newsletter-signup,404
